peer_id,worker_id,creator,owner_kind,controller
12D3KooWKSaqv2B7qS2jZK1TNCYQztRfJ4CfBKsrt1za2XCunxAM,1782,0xec6E0dBf15C8a106471A9163A4848C4e8D06b63D,vesting,0x80c88d21975aB9829181536766d15005444B9aAd
12D3KooWBdmnQ2o7ehShyLCsr5LDA9CyReaSQ9JtFKxvTP2Lrmim,2257,0x920848e15407e7d1a88B5E16506a5724BFDe9164,vesting,0x2aA9ADb88efa160A1987DBbf42B916aB83983751
12D3KooWRxb5P5tkLkZTQia6Nj6YjW5mWMH2FBjCDaCTanT5ftDF,313,0xB35728D533Ea887862b9Ed00cfe2B7F3D36A4e71,vesting,0xA205c6e35e0814B0A602b016B539E819807f27F3
12D3KooWJsroERXwCgfXXiQNoPwdvea1We8XL59GJEuSsoNa3tep,909,0xC99B581a508e8ae499671B4fa1d43E96B127094f,vesting,0x51FF35792Ec01fEA7048A295Ea68A3156d92b629
12D3KooWNqk7Xv6BX8z6nnw5bmVBRppNFWcM1bxsi9SWjjTJXiCi,4394,0x5CF5A099A9089b31689B16cd83d06b6ce154c41b,eoa,0x5CF5A099A9089b31689B16cd83d06b6ce154c41b
12D3KooWDYPYccxU1eiznsYGQZG8cNnwPpLekW1eGXRSV2XRAVfJ,706,0xB35728D533Ea887862b9Ed00cfe2B7F3D36A4e71,vesting,0xA205c6e35e0814B0A602b016B539E819807f27F3
12D3KooWRkRdHmSuLJgqPP34TApisK1VJqZf6XroWGPH6LZfGbhW,4198,0x5CF5A099A9089b31689B16cd83d06b6ce154c41b,eoa,0x5CF5A099A9089b31689B16cd83d06b6ce154c41b
12D3KooWNvvUnzapbsbwP3knVzfXU69DEMeQuemQhx4xubbmzuKX,3952,0xebc625Cee6367CF65b4ba8f8D99eA4BEAf01035f,vesting,0xdADB8013e3764DDd303D9B15A3a7b513e7089744
12D3KooWMwLeTYhHubQ33AUsuvi4VSjJHnykd1RX1jFXUtZhw5V6,4487,0x43d6A791c7db5C4dc2535a648FB25307FbD8478f,eoa,0x43d6A791c7db5C4dc2535a648FB25307FbD8478f
12D3KooWDXEk4Q6f8fLvAruhFpuxcF8jaiD7dS5PjiifA3mbRFFH,730,0xB35728D533Ea887862b9Ed00cfe2B7F3D36A4e71,vesting,0xA205c6e35e0814B0A602b016B539E819807f27F3
12D3KooWJoHktngwVP7upPqMg29bVikrpU1zUDe1ukf7w2uYHo7C,4152,0x5CF5A099A9089b31689B16cd83d06b6ce154c41b,eoa,0x5CF5A099A9089b31689B16cd83d06b6ce154c41b
12D3KooWDn2zBZDXrq8XtgkugaYt4as2P7c5VHzSkYS74r83L6eT,4429,0x5CF5A099A9089b31689B16cd83d06b6ce154c41b,eoa,0x5CF5A099A9089b31689B16cd83d06b6ce154c41b
12D3KooWPe6PJnmCWJmuUr3WaWshqJJPXEjneyyTEZDAPWLkWtyc,4341,0x5CF5A099A9089b31689B16cd83d06b6ce154c41b,eoa,0x5CF5A099A9089b31689B16cd83d06b6ce154c41b
12D3KooWCfokn7HCSZLn6oa22kq9GPHkWydE1swx4xKdVpoZ4uvD,3432,0xcd65B8BeeE22C8D1De6653A47e928d387e037aD3,eoa,0xcd65B8BeeE22C8D1De6653A47e928d387e037aD3
12D3KooWG5Rdr9cgvwF3Uiu5iavN9MFFwp47nU9tBuYSmvrvougF,4403,0x5CF5A099A9089b31689B16cd83d06b6ce154c41b,eoa,0x5CF5A099A9089b31689B16cd83d06b6ce154c41b
12D3KooWDbGVPZ9mPx3ksR7WLhVQ8PAdkWR1Z6W4afUCpww1AE9w,2265,0x920848e15407e7d1a88B5E16506a5724BFDe9164,vesting,0x2aA9ADb88efa160A1987DBbf42B916aB83983751
12D3KooWAhU7jQMS2RF2DxFYneqLTmgpWcu5Lc8N9VpUE1Ux77Wb,425,0xB35728D533Ea887862b9Ed00cfe2B7F3D36A4e71,vesting,0xA205c6e35e0814B0A602b016B539E819807f27F3
12D3KooWRChRhfeDADMtEU2YFhs5KDCTV3Xy7ppjMTqXkHSJ7yS4,2253,0x920848e15407e7d1a88B5E16506a5724BFDe9164,vesting,0x2aA9ADb88efa160A1987DBbf42B916aB83983751
12D3KooWQ1oVrfCjTq41oGr8VUkdZLbw3pbfrhbE1wavKVjwxTse,2263,0x920848e15407e7d1a88B5E16506a5724BFDe9164,vesting,0x2aA9ADb88efa160A1987DBbf42B916aB83983751
